"","Code","Period","Country","Time_Span","Pov_1.90","Pov_3.20","Pov_5.50","Gini","Mean_Inc","Private_Credit","Pop_Growth","GDPpc","Region","Income_Group","Pov_1.90_IP","Pov_3.20_IP","Pov_5.50_IP","Gini_IP","log_Pov_1.90","log_Pov_3.20","log_Pov_5.50","log_Gini","log_Private_Credit","log_Mean_Inc","dlog_Pov_1.90","dlog_Pov_3.20","dlog_Pov_5.50","dlog_Gini","dlog_Private_Credit","dlog_Mean_Inc","log_ZY_1.90","log_ZY_3.20","log_ZY_5.50"
"1","ALB","1","Albania","[1980,1985)",NA,NA,NA,NA,208.3745,NA,2.07780638038038,2084.07558277215,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33933694154798,NA,NA,NA,NA,NA,NA,-1.28233101079374,-0.761034087160456,-0.219436804727712
"2","ALB","2","Albania","[1985,1990)",NA,NA,NA,NA,205.5995,NA,2.1121655786911,2055.73981154554,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32593010167144,NA,NA,NA,NA,NA,-0.002681367975309,-1.26908551170455,-0.747788588071266,-0.206191305638522
"3","ALB","3","Albania","[1990,1995)",NA,NA,NA,NA,163.30545,3.75473,-0.126841022401955,1464.06589650887,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,1.32301637850304,5.09562237357751,NA,NA,NA,NA,NA,-0.0460615456187863,-1.02637217422725,-0.505075250593967,0.0365220318387774
"4","ALB","4","Albania","[1995,2000)",1.1,13.9,51.5,27,188.6357,3.348282,-0.625466364173492,1834.02093764135,"Europe & Central Asia","Upper middle income",1.1,13.9,51.5,27,0.0953101798043249,2.63188884013665,3.94158180766969,3.29583686600433,1.20844737847081,5.23981764178795,NA,NA,NA,NA,-0.0229138000064458,0.0288390536420888,-1.18296421548061,-0.661667291847322,-0.120070009414577
"5","ALB","5","Albania","[2000,2005)",2,17,54.1,31.7,191.988,5.867772,-0.533556901191508,2576.63250746481,"Europe & Central Asia","Upper middle income",2,17,54.1,31.7,0.693147180559945,2.83321334405622,3.99083418585244,3.45631668088323,1.76947500472014,5.25743287007458,0.119567400151124,0.040264900783914,0.00985047563654904,0.0320959629757811,0.112205525249866,0.00352304565732506,-1.20058828010769,-0.679291356474403,-0.137694074041659
"6","ALB","6","Albania","[2005,2010)",0.75,8.7,39.2,30.3,227.2844,24.0482,-0.667931424457547,3503.0908769922,"Europe & Central Asia","Upper middle income",0.75,8.7,39.2,30.3,-0.287682072451781,2.16332302566054,3.66867674679642,3.41114771251532,3.18006014967597,5.42620209673904,-0.196165850602345,-0.133978063679136,-0.0644314878112038,-0.0090337936735823,0.282117028991165,0.0337538453328932,-1.36833939179045,-0.847042468157163,-0.305445185724418
"7","ALB","7","Albania","[2010,2015)",1.1,7.7,39.1,29,231.01455,37.41844,-0.264177743928134,4264.45964115582,"Europe & Central Asia","Upper middle income",1.1,7.7,39.1,29,0.0953101798043249,2.04122032885964,3.66612246699132,3.36729582998647,3.62216363104054,5.44248069555118,0.0765984504512212,-0.0244205393601799,-0.000510855961019363,-0.00877037650576984,0.0884206962729139,0.00325571976242802,-1.38552152677567,-0.864224603142385,-0.322627320709641
"8","ARG","1","Argentina","[1980,1985)",0.4,1.2,5.5,40.8,802.6249,30.11948,1.55366897279871,7409.45873566939,"Latin America & Caribbean","Upper middle income",0.4,1.2,5.5,40.8,-0.916290731874155,0.182321556793955,1.70474809223843,3.70868208141012,3.40517213850644,6.68788748152302,NA,NA,NA,NA,NA,NA,-2.63004667900702,-2.10874975537373,-1.56715247294099
"9","ARG","2","Argentina","[1985,1990)",0.001,0.4505,6.6,44.05,788.8666,22.71782,1.50762168857008,6970.75705384955,"Latin America & Caribbean","Upper middle income",0.001,0.4505,6.6,44.05,-6.90775527898214,-0.797397201933744,1.88706964903238,3.78532535238219,3.12314963854516,6.67059723177292,-1.1982929094216,-0.19594375174554,0.0364643113587909,0.0153286541944145,-0.0564044999922547,-0.00345804995001942,-2.61375264180604,-2.09245571817275,-1.55085843574001
"10","ARG","3","Argentina","[1990,1995)",1.975,5.15,14.95,45.775,562.6618,16.5275,1.37407897284347,7123.69625883788,"Latin America & Caribbean","Upper middle income",1.975,5.15,14.95,45.775,0.680568398353085,1.63899671467564,2.7047112998367,3.82373809056057,2.8050256602256,6.33267873716129,1.51766473546704,0.487278783321878,0.163528330160863,0.00768254763567713,-0.0636247956639131,-0.0675836989223269,-2.27581639417446,-1.75451947054118,-1.21292218810843
