Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Aruba,ABW,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8152099999999,76.83175,72.41274,76.8075,72.3600699999999,73.4449099999999,75.1247099999999,,80.52762,74.48249,77.72432,,76.94634,,,,,,,,
Afghanistan,AFG,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,,,,,8.43882,,,,,,,,,,,,,,,,,,,15.29794,,,,,,,,,,,,,,27.37546,,,,,,47.50445,47.31282,47.37321,44.93328,49.51551,,
Angola,AGO,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,,,3.97481,,,,,,,,,,6.56523,,,,,,,,,,,,,,,,,,,,,,,,,,9.24375,9.72162,11.38973,,,,,,,,,
Albania,ALB,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.02141,68.7576799999999,,,,,,,,,,,,83.97824,85.19194,85.90427,85.81806,87.4517,,
Andorra,AND,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,21.13558,21.06424,21.53977,22.83593,23.30666,24.57696,26.03372,27.88839,29.68314,31.09303,32.19031,32.64732,34.11141,35.23301,36.4682,37.88817,39.65529,40.76033,41.24721,41.91586,44.37698,44.52339,43.57549,44.18192,45.97079,46.10632,46.24516,47.49216,48.92376,50.39168,51.67246,52.86477,53.64607,55.34994,57.1455,57.25289,57.17056,57.07866,58.29983,60.53854,61.01626,62.77457,62.91259,61.34827,61.80656,62.1789,62.51796,62.53322,,
United Arab Emirates,ARE,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,,,,,,,,,26.20265,,36.54189,,,,,,,,,,,56.83271,59.26492,63.1064,68.2201,71.78233,,69.47756,69.18159,,,,,,,,,,,,,,,,,,87.48942,,,
Argentina,ARG,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,,,,,40.23715,41.72664,,,,,,,,,,,,,,,,,,,,,,,74.56641,76.6034899999999,78.96793,79.45393,79.36179,79.16766,79.3593,78.98123,79.10942,79.20078,80.34959,82.40929,83.99653,85.2245499999999,87.32117,88.1617,88.24636,88.54679,89.5142,,,
Armenia,ARM,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5328,88.92706,91.6313,86.10518,92.32048,92.51093,87.74122,,,,,,,,
American Samoa,ASM,School enrollment secondary (% net),SE.SEC.NENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
