"","Country","Year","Code","Region","Income_Group","Pov_1.90","Pov_3.20","Pov_5.50","GDP_Pc","Private_Credit","Mean_Inc","Gov_Cons","Expenses","Inflation","Gini","Exports","Imports","Pop_Growth","Schooling","ATM","Bank_Acc","Bank_Branch"
"1","Aruba","1960","ABW","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.148036835756,NA,NA,NA,NA
"2","Afghanistan","1960","AFG","South Asia","Low income",NA,NA,NA,NA,4.60331,NA,NA,NA,NA,NA,4.13223321494422,7.02479336623182,1.81607652146107,NA,NA,NA,NA
"3","Angola","1960","AGO","Sub-Saharan Africa","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90351670811331,NA,NA,NA,NA
"4","Albania","1960","ALB","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.01542305926732,NA,NA,NA,NA
"5","Andorra","1960","AND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05066342219132,NA,NA,NA,NA
"6","Arab World","1960","ARB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","United Arab Emirates","1960","ARE","Middle East & North Africa","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85958393804144,NA,NA,NA,NA
"8","Argentina","1960","ARG","Latin America & Caribbean","Upper middle income",NA,NA,NA,5605.19172213837,13.6112,NA,9.88044509523395,NA,NA,NA,7.60404910825644,7.60404697912324,1.63087449288958,NA,NA,NA,NA
"9","Armenia","1960","ARM","Europe & Central Asia","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59638620811028,NA,NA,NA,NA
"10","American Samoa","1960","ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40390259605132,NA,NA,NA,NA
"11","Antigua and Barbuda","1960","ATG","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12120817295057,NA,NA,NA,NA
"12","Australia","1960","AUS","East Asia & Pacific","High income",NA,NA,NA,19387.3187582716,17.7308,NA,11.1131210805596,NA,NA,NA,12.9944524843222,14.0617462614568,2.2669115425423,NA,NA,NA,NA
"13","Austria","1960","AUT","Europe & Central Asia","High income",NA,NA,NA,13031.0315898249,34.4154,NA,12.7455775207614,NA,NA,NA,23.2478251355375,23.2619333531499,0.510799364664575,NA,NA,NA,NA
"14","Azerbaijan","1960","AZE","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31631450943651,NA,NA,NA,NA
"15","Burundi","1960","BDI","Sub-Saharan Africa","Low income",NA,NA,NA,214.302672456135,NA,NA,2.67857156523324,NA,NA,NA,12.4999996173469,13.3928578261662,1.94506710469134,NA,NA,NA,NA
"16","Belgium","1960","BEL","Europe & Central Asia","High income",NA,NA,NA,13193.3149413605,8.80031,NA,15.5043540132695,NA,NA,NA,37.8006916562682,38.5006742171141,0.657711496610821,NA,NA,NA,NA
"17","Benin","1960","BEN","Sub-Saharan Africa","Low income",NA,NA,NA,520.404179984985,7.59563,NA,10.154439717883,NA,NA,NA,6.12391381286847,12.1102860037387,1.30368717716863,NA,NA,NA,NA
"18","Burkina Faso","1960","BFA","Sub-Saharan Africa","Low income",NA,NA,NA,238.854562360996,1.95538,NA,7.42652061799036,NA,NA,NA,4.86196544713728,15.839404612418,1.35952305392171,NA,NA,NA,NA
"19","Bangladesh","1960","BGD","South Asia","Lower middle income",NA,NA,NA,370.594171598507,NA,NA,6.19158078945777,NA,NA,NA,9.99668529799247,9.30725837281466,2.84573006352214,NA,NA,NA,NA
"20","Bulgaria","1960","BGR","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952936538159994,NA,NA,NA,NA
"21","Bahrain","1960","BHR","Middle East & North Africa","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54042565824538,NA,NA,NA,NA
"22","Bahamas","1960","BHS","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79026573094297,NA,NA,NA,NA
"23","Bosnia and Herzegovina","1960","BIH","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89266592552134,NA,NA,NA,NA
"24","Belarus","1960","BLR","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977388386901087,NA,NA,NA,NA
"25","Belize","1960","BLZ","Latin America & Caribbean","Upper middle income",NA,NA,NA,1072.00957901029,NA,NA,NA,NA,NA,NA,NA,NA,2.83571001743706,NA,NA,NA,NA
"26","Bermuda","1960","BMU","North America","High income",NA,NA,NA,27838.3930375774,NA,NA,NA,NA,NA,NA,NA,NA,1.36060633732078,NA,NA,NA,NA
"27","Bolivia","1960","BOL","Latin America & Caribbean","Lower middle income",NA,NA,NA,995.47901412817,1.60959,NA,8.6403215003349,NA,NA,NA,16.2089752176825,23.9339138200491,1.89919795527191,NA,NA,NA,NA
"28","Brazil","1960","BRA","Latin America & Caribbean","Upper middle income",NA,NA,NA,3425.42996904686,12.2251,NA,14.1041493442962,NA,NA,NA,7.05904647646368,7.11728554327239,2.89585689207079,NA,NA,NA,NA
"29","Barbados","1960","BRB","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255805623267688,NA,NA,NA,NA
"30","Brunei Darussalam","1960","BRN","East Asia & Pacific","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79348202510132,NA,NA,NA,NA
"31","Bhutan","1960","BTN","South Asia","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50091821658417,NA,NA,NA,NA
"32","Botswana","1960","BWA","Sub-Saharan Africa","Upper middle income",NA,NA,NA,390.829725264589,NA,NA,18.135720574745,NA,NA,NA,26.2756360317336,39.6439420829665,2.2957065808937,NA,NA,NA,NA
"33","Central African Republic","1960","CAF","Sub-Saharan Africa","Low income",NA,NA,NA,601.85281488668,11.1636,NA,19.2727184145465,NA,NA,NA,23.2727244800003,34.1818122618189,1.61171288182543,NA,NA,NA,NA
"34","Canada","1960","CAN","North America","High income",NA,NA,NA,17664.2047977764,18.0065,NA,14.5536820924809,NA,NA,NA,16.9660556577484,18.135559267776,2.29862653524038,NA,NA,NA,NA
"35","Central Europe and the Baltics","1960","CEB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Switzerland","1960","CHE","Europe & Central Asia","High income",NA,NA,NA,NA,106.176,NA,7.57774027762409,NA,NA,NA,27.7704941413694,26.7453309234874,2.17227375203409,NA,NA,NA,NA
"37","Channel Islands","1960","CHI","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821312745002267,NA,NA,NA,NA
"38","Chile","1960","CHL","Latin America & Caribbean","High income",NA,NA,NA,3806.8057288218,23.0204,NA,10.3634232121923,NA,NA,NA,13.0561786878124,15.83330939306,2.2264988057524,NA,NA,NA,NA
"39","China","1960","CHN","East Asia & Pacific","Upper middle income",NA,NA,NA,191.791179910216,NA,NA,12.985511189715,NA,NA,NA,4.30582953540576,4.42827018570165,1.83286768126466,NA,NA,NA,NA
"40","Cote d'Ivoire","1960","CIV","Sub-Saharan Africa","Lower middle income",NA,NA,NA,1205.26063263157,18.3597,NA,7.93812644171078,NA,NA,NA,34.2395470688431,22.9045205039723,3.51886034004453,NA,NA,NA,NA
"41","Cameroon","1960","CMR","Sub-Saharan Africa","Lower middle income",NA,NA,NA,956.456040966485,9.70117,NA,NA,NA,NA,NA,NA,NA,2.0191202759051,NA,NA,NA,NA
"42","Congo Dem. Rep.","1960","COD",NA,NA,NA,NA,NA,1038.93243150651,NA,NA,NA,NA,NA,NA,NA,NA,2.49998884729973,NA,NA,NA,NA
"43","Congo Rep.","1960","COG","Sub-Saharan Africa","Lower middle income",NA,NA,NA,1429.99797537875,22.2291,NA,15.0959692968987,NA,NA,NA,20.4533253450586,85.6071667649216,2.5026638020295,NA,NA,NA,NA
"44","Colombia","1960","COL","Latin America & Caribbean","Upper middle income",NA,NA,NA,2277.06662211679,19.7822,NA,6.37628417711344,NA,NA,NA,15.694579144343,14.7574328795702,2.99015307937813,NA,NA,NA,NA
"45","Comoros","1960","COM","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59489481021604,NA,NA,NA,NA
"46","Cabo Verde","1960","CPV","Sub-Saharan Africa","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19539184259056,NA,NA,NA,NA
"47","Costa Rica","1960","CRI","Latin America & Caribbean","Upper middle income",NA,NA,NA,2906.12605706405,26.3655,NA,10.3513364550717,NA,NA,NA,21.185106017472,26.0758590403175,3.57473667460002,NA,NA,NA,NA
"48","Caribbean small states","1960","CSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
