Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Aruba,ABW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5781737687622,24.2432588226125,50.7192978736512,44.3178392396772,50.8630045999057,59.4847758807514,42.3292514484608,42.0936844468805,44.5892994893339,37.0225695736427,40.871971837749,36.6526417130882,,
Angola,AGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6524460019801,21.8300194095745,29.0157756429379,21.1229588884631,25.9032756130507,16.145436704097,20.8255646807053,19.0326436506387,20.8230172371605,22.3855332282409,25.5005040191873,25.6491744237266,26.6713218933309,23.449830383616,28.2092383291034,27.967359355335,20.818831842683,17.5116635350998,16.6711371453758,,
Albania,ALB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8909560055278,21.0782030691562,25.5827202375922,30.0333024986488,,,,24.8318781136964,22.9013763430706,22.7939219866713,,,,,,,23.0111069763437,23.007590723666,24.1607729474324,24.3826654387392,24.4461757489854,23.9117146844842,23.8331513066639,,
Andorra,AND,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05387363605581,6.54878847413229,6.20006062052198,,,,,,,,,,,,4.12550016580332,4.24840745549923,4.01105941619494,3.8952818504979,4.28850810607108,4.4659581193146,4.09863903951296,,
Argentina,ARG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3254404487432,11.2055409345172,11.8011099217048,14.2818561185834,14.9007924176507,15.5112306915719,15.1655476442657,15.0142218610321,15.0988005449104,16.7436856974566,16.8328883767368,16.9923529034125,19.6771706443151,19.8373029880995,16.8763416365527,,,,,,,,,,24.5697808575806,25.0083932347048,26.3059150177128,24.5226515151507,,
Armenia,ARM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9559988456693,18.1464405215631,17.1482192993136,17.0424253804612,21.1396851697465,23.8619179943921,22.9973623470093,22.5680163171222,21.3736421560682,22.6371817977093,23.9875580530759,25.0779813488419,25.7115181584805,22.6118118808271,,
American Samoa,ASM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3073922500312,22.320550013098,24.8906394297971,21.5319093178037,22.274006911353,20.4088887915462,21.8979562966888,21.1709677077322,20.7392486760406,23.6497451022089,21.7320950304223,23.1772634118616,20.5298100199169,21.7450520273048,20.856797976206,,,,,
Australia,AUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,18.0896274143863,18.494018296974,18.175481686775,21.3083875683502,23.6862028769543,23.6585111920875,24.5402457742652,23.7402790195516,23.4035270481435,23.6001446369284,23.3314347553682,25.6157791761409,26.5172858314778,26.4895813379307,26.1986123657051,25.754430672188,24.2441641508153,22.2254564843631,21.8572836156402,23.2098789257464,24.4851919448725,25.0173670630267,25.1392401801856,25.4515566141696,24.6270368215254,23.8644242388225,21.3685837540406,24.5812768937127,24.0948523058625,26.3779751009555,26.4561114036472,25.8649460173764,25.7331016083188,25.6572949317959,24.989178673903,24.530270148229,24.3808776962875,26.5029380864053,26.7430233265259,25.8998783073909,26.1573356493854,25.8755888653756,26.3090809737708,26.7895601589733,26.9626368700003,26.706707151666,,
Austria,AUT,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,25.915402431263,27.6120905924962,27.9038754307352,31.1084772401006,31.6191570203661,31.4136612506303,33.8517496022245,33.322423459081,33.4739417524882,34.5654438737343,34.9966352092361,35.4160012481996,35.7051300943499,35.5729953121721,36.2747019751862,36.855583666469,37.1699418693453,35.7534635722505,35.5912700666184,36.0426099357778,36.697148990262,38.7564718107163,38.6749163266011,48.7183958892184,48.7386551439875,47.5228026402187,47.2509965921999,47.1087352314622,46.2637884393769,46.6155776930225,45.9729061942825,46.0361198617491,48.6070087732423,45.9123747815754,45.188096157763,43.9779149065683,44.5742404112228,47.848356650487,46.4268063334548,45.5076838109706,46.1450516838,46.6216192018652,47.5011846905473,46.2789576356442,45.1839908303893,44.2291422281375,,
Azerbaijan,AZE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1976514544969,19.8269659761927,15.807941154944,16.221372257227,18.7678486310527,19.0095414691002,,,,,,,,,18.5077683545439,23.0788028594301,20.8724832214765,18.4783610460428,22.1853838889224,20.9255439826751,22.1009894245613,24.7887090842221,27.1959381185333,28.0395351257787,,
Burundi,BDI,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0162153488943,20.7437947032339,24.5436596936314,23.5190672037332,19.9251600008438,17.0307867730901,18.2640023337223,18.987756121939,18.0602217830479,,,,,,,,,,,21.4202292080077,19.9992977562959,17.9383565917268,17.0163409836066,,,,,,
Belgium,BEL,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2931680904734,45.5434875225986,44.3177307299639,43.999051557084,43.3505441681066,42.3270286807476,42.8649632564852,41.0852194625927,42.2736624604395,40.5792492270115,43.3828024070826,40.3622275127724,40.1091924429778,41.7607287230993,44.0238590909886,43.2770702861267,44.4011086072693,45.7257946514078,45.5299717234907,45.2568019023881,41.938375252001,41.243247838331,40.2328517425844,,
